Model_Year,Make,Model_1,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,CO2_Emissions,CO2_Rating,Smog_Rating
2023,Acura,Integra,Full-size,1.5,4.0,AV7,4.0,7.9,167,6,7
2023,Acura,Integra A-SPEC,Full-size,1.5,4.0,AV7,4.0,8.1,172,6,7
2023,Acura,Integra A-SPEC,Full-size,1.5,4.0,M6,4.0,8.9,181,6,6
2023,Acura,MDX SH-AWD,SUV: Small,3.5,6.0,AS10,6.0,12.6,263,4,5
2023,Acura,MDX SH-AWD Type S,SUV: Standard,3.0,6.0,AS10,6.0,13.8,291,4,5
2023,Acura,RDX SH-AWD,SUV: Small,2.0,4.0,AS10,4.0,11.0,232,5,6
2023,Acura,RDX SH-AWD A-SPEC,SUV: Small,2.0,4.0,AS10,4.0,11.3,242,5,6
2023,Acura,TLX SH-AWD,Compact,2.0,4.0,AS10,4.0,11.2,230,5,7
2023,Acura,TLX SH-AWD A-SPEC,Compact,2.0,4.0,AS10,4.0,11.3,231,5,7
2023,Acura,TLX Type S,Compact,3.0,6.0,AS10,6.0,12.3,256,5,5
2023,Alfa Romeo,Giulia,Mid-size,2.0,4.0,A8,4.0,10.0,205,5,5
2023,Alfa Romeo,Giulia AWD,Mid-size,2.0,4.0,A8,4.0,10.5,217,5,5
2023,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2.9,6.0,A8,6.0,13.5,271,4,3
2023,Alfa Romeo,Stelvio,SUV: Small,2.0,4.0,A8,4.0,10.3,218,5,5
2023,Alfa Romeo,Stelvio AWD,SUV: Small,2.0,4.0,A8,4.0,10.8,226,5,5
2023,Alfa Romeo,Stelvio AWD Quadrifoglio,SUV: Small,2.9,6.0,A8,6.0,13.9,288,4,3
2023,Alfa Romeo,Tonale AWD,SUV: Small,2.0,4.0,A9,4.0,11.2,231,5,7
2023,Aston Martin,DB11 V8,Minicompact,4.0,8.0,A8,8.0,13.0,271,4,5
2023,Aston Martin,DB11 V12,Minicompact,5.2,12.0,A8,12.0,16.4,324,3,3
2023,Aston Martin,DBS V12,Minicompact,5.2,12.0,A8,12.0,16.4,324,3,3
2023,Aston Martin,DBX V8,SUV: Standard,4.0,8.0,A9,8.0,16.8,343,3,5
2023,Aston Martin,DBX707,SUV: Standard,4.0,8.0,A9,8.0,15.7,329,3,5
2023,Aston Martin,Vantage V8,Two-seater,4.0,8.0,A8,8.0,13.1,270,4,5
2023,Aston Martin,V12 Vantage,Two-seater,5.2,12.0,A8,12.0,17.2,337,3,3
2023,Audi,A3 40 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,8.7,183,6,7
2023,Audi,A4 Sedan 45 TFSI quattro,Compact,2.0,4.0,AM7,4.0,9.7,203,5,5
2023,Audi,A4 allroad 45 TFSI quattro,Station wagon: Small,2.0,4.0,AM7,4.0,10.1,214,5,5
2023,Audi,A5 Cabriolet 45 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,9.9,208,5,5
2023,Audi,A5 Coupé 45 TFSI quattro,Subcompact,2.0,4.0,AM7,4.0,9.7,203,5,5
2023,Audi,A5 Sportback 45 TFSI quattro,Mid-size,2.0,4.0,AM7,4.0,9.7,203,5,5
2023,Audi,A6 45 TFSI quattro,Mid-size,2.0,4.0,AM7,4.0,10.0,207,5,5
2023,Audi,A6 55 TFSI quattro,Mid-size,3.0,6.0,AM7,6.0,11.1,224,5,5
2023,Audi,A6 allroad 55 TFSI quattro,Station wagon: Mid-size,3.0,6.0,AM7,6.0,11.1,224,5,5
2023,Audi,A7 Sportback 55 TFSI quattro,Mid-size,3.0,6.0,AM7,6.0,11.1,224,5,5
2023,Audi,A8 L Sedan 55 TFSI quattro,Full-size,3.0,6.0,AS8,6.0,12.5,247,5,5
2023,Audi,Q3 40 TFSI quattro,SUV: Small,2.0,4.0,AS8,4.0,10.9,224,5,6
2023,Audi,Q3 45 TFSI quattro,SUV: Small,2.0,4.0,AS8,4.0,11.2,233,5,7
2023,Audi,Q5 40 TFSI quattro,SUV: Small,2.0,4.0,AM7,4.0,10.2,217,5,1
2023,Audi,Q5 45 TFSI quattro,SUV: Small,2.0,4.0,AM7,4.0,10.6,223,5,5
2023,Audi,Q5 Sportback 45 TFSI quattro,SUV: Small,2.0,4.0,AM7,4.0,10.6,223,5,5
2023,Audi,Q7 45 TFSI quattro,SUV: Standard,2.0,4.0,AS8,4.0,12.2,257,4,5
2023,Audi,Q7 55 TFSI quattro,SUV: Standard,3.0,6.0,AS8,6.0,12.9,281,4,5
2023,Audi,Q8 55 TFSI quattro,SUV: Standard,3.0,6.0,AS8,6.0,12.8,273,4,5
2023,Audi,R8 Coupé Performance,Two-seater,5.2,10.0,AM7,10.0,16.6,320,3,1
2023,Audi,R8 Coupé Performance quattro,Two-seater,5.2,10.0,AM7,10.0,17.7,361,2,1
2023,Audi,R8 Spyder Performance,Two-seater,5.2,10.0,AM7,10.0,16.6,320,3,1
2023,Audi,R8 Spyder Performance quattro,Two-seater,5.2,10.0,AM7,10.0,17.7,361,2,1
2023,Audi,R8 GT Coupé,Two-seater,5.2,10.0,AM7,10.0,16.2,328,3,1
2023,Audi,RS 5 Coupé quattro,Subcompact,2.9,6.0,AS8,6.0,13.2,266,4,5
2023,Audi,RS 5 Sportback quattro,Mid-size,2.9,6.0,AS8,6.0,13.2,267,4,5
2023,Audi,RS 6 Avant quattro,Station wagon: Mid-size,4.0,8.0,AS8,8.0,16.4,328,3,3
2023,Audi,RS 7 Sportback quattro,Mid-size,4.0,8.0,AS8,8.0,16.4,328,3,3
2023,Audi,RS Q8 quattro,SUV: Standard,4.0,8.0,AS8,8.0,17.5,349,3,3
2023,Audi,S3 quattro,Subcompact,2.0,4.0,AM7,4.0,10.2,207,5,5
2023,Audi,S4 Sedan quattro,Compact,3.0,6.0,AS8,6.0,11.1,226,5,5
2023,Audi,S5 Cabriolet quattro,Subcompact,3.0,6.0,AS8,6.0,11.3,233,5,5
